State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2000-01
KENTUCKY,9831,9560,9411,9274,9327,9228,8957,8786,8740,7941,7668,7132,6864,6661,6523,6079
LOUISIANA,11169,11106,10853,10539,10726,10799,10701,10625,10006,8937,8486,7669,7271,6922,6567,6037
MAINE,14202,13976,13267,12655,12335,12576,12452,12183,11761,11644,10841,10342,9746,9344,8818,8232
MARYLAND,14523,14431,14217,14086,13871,14123,14007,13737,13257,11989,10909,10031,9433,9153,8692,8260
MASSACHUSETTS,16986,16566,15886,15321,14844,14285,14699,14534,13690,12784,12087,11642,11015,10460,10232,9509
MICHIGAN,11051,10956,10649,10515,10477,10577,10447,10373,10075,9876,9575,9340,9094,8781,8653,8278
MINNESOTA,12364,11924,11427,11065,10781,10674,10665,10983,10060,9589,9159,8718,8405,8109,7736,7645
MISSISSIPPI,8692,8445,8265,8117,8097,7926,8104,8064,7890,7459,7173,6548,6199,5792,5354,5175
MISSOURI,10385,10231,9938,9702,9514,9461,9721,9617,9532,8848,8273,7858,7542,7495,7136,6657
MONTANA,11374,11078,10941,10662,10569,10719,10565,10120,9786,9191,8626,8133,7825,7496,7062,6726
NEBRASKA,12379,12174,11877,11743,11640,11540,11460,10846,10565,10068,9324,8794,8452,8074,7741,7223
NEVADA,8753,8451,8275,8026,8130,8411,8376,8321,8187,7796,7177,6804,6410,6092,6079,5807
NEW HAMPSHIRE,15535,14969,14601,14050,13774,13548,13072,12583,11951,11036,10396,9771,9161,8579,7935,7286
NEW JERSEY,19041,18838,18780,18523,17982,16855,17379,16973,17620,16163,14954,14117,13338,12568,11793,11248
NEW MEXICO,9959,9724,9403,9164,9013,9250,9621,9648,9291,8849,8354,7834,7572,7125,6882,6313
NEW YORK,22231,20744,20156,19529,19396,18834,18167,17746,16794,15546,14615,13703,12638,11961,11218,10716
NORTH CAROLINA,8717,8529,8287,8342,8160,8267,8225,8463,7798,7878,7396,7098,6613,6562,6495,6340
NORTH DAKOTA,13358,12909,12032,11615,11246,10898,10519,9802,9324,8671,8728,8279,7333,6870,6709,6125
OHIO,11933,11730,11434,11276,11323,11395,11224,10669,10340,9937,9692,9330,9029,8632,8069,7571
OKLAHOMA,8091,8075,7995,7914,7763,7631,7929,7878,7683,7430,6941,6610,6154,6092,6229,6019
OREGON,10823,10457,9959,9183,9485,9516,9268,9611,9565,8958,8645,8071,7618,7491,7642,7528
PENNSYLVANIA,15165,14405,13824,13445,13091,13096,12729,12299,11741,10905,10723,10235,9708,8997,8537,8210
RHODE ISLAND,16082,15797,15372,14889,15172,14948,14723,14719,14459,13453,12609,11667,11078,10349,9703,9315
SOUTH CAROLINA,10045,9831,9608,9444,9077,8903,9080,9228,9060,8507,8120,7549,7177,7040,7017,6631
SOUTH DAKOTA,9335,9103,9036,8630,8593,8931,9020,8543,8535,8064,7775,7464,7068,6547,6424,6191
TENNESSEE,8876,8759,8662,8588,8354,8484,8117,7992,7820,7129,7004,6850,6466,6118,5948,5687
TEXAS,9352,9081,8602,8261,8213,8685,8788,8562,8350,7850,7480,7246,7151,7136,6771,6539
UTAH,7006,6751,6546,6432,6441,6326,6452,6612,5978,5709,5464,5216,4991,4838,4900,4674
VERMONT,19023,18769,18066,17286,16651,14707,16006,15096,14421,13629,12805,11972,11211,10454,9806,9153
VIRGINIA,11435,11235,10955,10960,10656,10363,10594,10928,10664,10214,9452,8886,8219,7822,7496,7281
WASHINGTON,11484,10684,10305,9714,9617,9619,9497,9585,9058,8524,7984,7717,7391,7252,7039,6750
WEST VIRGINIA,11424,11512,11371,11257,11579,11978,11730,10606,10059,9727,9440,9024,8588,8319,7844,7534
WISCONSIN,11664,11538,11345,11186,11233,11946,11453,11183,10791,10372,9993,9755,9240,9004,8634,8243
WYOMING,16431,16047,15903,15815,15988,15815,15232,14628,13856,13266,11437,10190,9308,8985,8645,7835
