State Name,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2015-16,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2014-15,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2013-14,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2012-13,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2011-12,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2010-11,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2009-10,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2008-09,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2007-08,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2006-07,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2005-06,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2004-05,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2003-04,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2002-03,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2001-02,Total Revenues (TR) per Pupil (MEMBR) [State Finance] 2000-01
HAWAII,16656,14803,14434,12621,13875,13755,14234,14497,13886,13514,14789,12415,11666,11309,10246,9125
IDAHO,8258,7858,7364,7386,7369,7915,8044,8158,7965,7627,7288,7093,6952,6832,6683,6503
ILLINOIS,13569,13329,13189,12972,14005,13818,13434,12522,12035,11342,10581,10146,9859,9190,9008,8892
INDIANA,11882,11568,11513,11416,11473,11231,13034,12015,11747,9621,10831,11043,9976,7895,8972,9131
IOWA,13106,12791,12359,12070,12179,11913,11266,11321,11209,10407,9793,9369,8845,8796,8374,7987
KANSAS,12700,12519,12217,11996,11924,11723,11564,12216,11805,11202,10318,9524,9661,8646,8216,7704
KENTUCKY,11120,10824,10536,10393,10391,10389,10106,9912,9848,8990,8693,7972,7670,7210,7106,6773
LOUISIANA,12425,12454,12275,11872,11959,11839,11891,11827,11543,10568,10329,8363,7951,7597,7254,6810
MAINE,15471,15071,14517,13917,13527,13740,13950,13349,13257,13079,12134,11611,10805,10577,9967,9342
MARYLAND,16395,16605,15987,16054,16093,15768,15738,15521,15471,13650,12419,11422,10361,10001,9768,9200
MASSACHUSETTS,18633,18108,17591,17215,16610,16071,16269,15750,15165,14638,14343,13055,11950,12006,11319,10407
MICHIGAN,12912,12649,12192,11979,11917,12266,11765,11799,11591,11369,10893,10489,10260,10058,10131,9507
MINNESOTA,14722,14213,13620,13267,13087,13053,12710,12610,12290,11558,10952,10360,10163,9859,9358,9216
MISSISSIPPI,9673,9269,8994,8903,9052,9140,9023,8864,8880,8399,8349,7352,7058,6625,6142,5832
MISSOURI,12127,11906,11380,11234,11152,11069,11065,10941,11042,10391,9707,9248,8762,8453,8263,7781
MONTANA,12259,12491,11956,11601,11400,11678,11398,11242,10958,10265,9439,8815,8545,8030,7689,7362
NEBRASKA,13769,13333,12776,12523,13103,13684,13034,12274,11691,11129,10368,9799,9326,8937,8675,8064
NEVADA,10017,9848,9609,9290,9412,9637,10048,10270,10165,9436,8965,8481,7980,7536,7318,7025
NEW HAMPSHIRE,16752,16205,15810,15216,14928,14610,14254,13727,13019,12292,11489,10841,10202,9425,8803,8223
NEW JERSEY,21061,20410,19969,19740,19603,17980,18521,18340,18007,17418,16337,15602,14830,13825,12900,12157
NEW MEXICO,11878,11713,11141,10925,10710,11073,11246,11568,11110,10213,9636,9352,9035,8387,8161,7576
NEW YORK,24717,23060,22271,21768,21683,21038,20660,20272,19081,17707,16613,15389,14176,13120,12404,11889
NORTH CAROLINA,9109,8833,8573,8632,8696,8875,8802,8950,8439,8398,7863,7533,7262,7021,7081,7160
NORTH DAKOTA,15694,14809,14449,13396,13281,13070,13211,11638,11117,10297,9748,9159,8585,7917,7488,7031
OHIO,14539,14214,13627,13070,13153,13096,12883,12292,12476,12110,11473,10822,10249,9870,9636,9073
OKLAHOMA,9049,9094,8918,8780,8801,8901,8705,8882,8539,8184,7656,7342,6968,6663,6643,6475
OREGON,12799,12398,11679,10484,10863,10723,10657,10680,10818,10064,9829,9052,9281,8302,8629,8356
PENNSYLVANIA,17405,16627,16013,15562,15134,15153,14787,14440,13859,12821,12391,11728,10964,10321,9817,9400
RHODE ISLAND,17504,17219,16810,16401,15947,15846,15589,15358,15062,14153,13342,12000,11690,10960,10441,9823
SOUTH CAROLINA,12367,11753,11588,11433,11058,10847,10838,10727,10913,10070,9559,8906,8551,8256,8315,8059
SOUTH DAKOTA,10889,10678,10321,10142,10179,10367,10509,9823,9925,9398,8967,8647,8090,7413,7232,6883
TENNESSEE,9585,9471,9384,9144,8983,9029,8769,8523,8535,7897,7660,7378,6917,6592,6394,6283
TEXAS,11120,10724,10357,9858,9906,10307,10318,9882,9749,9410,8771,8353,8174,8124,7754,7506
UTAH,8408,8068,7843,7925,7871,7852,7925,8255,7629,7218,6769,6408,6107,5954,5983,5702
VERMONT,19627,20140,19237,18313,18288,16952,17916,16780,16000,15107,13958,13049,12192,11502,10894,10149
VIRGINIA,12408,12203,11814,11938,11654,11542,11798,12109,11803,11440,10648,9952,9162,8735,8356,8135
WASHINGTON,13643,12673,12213,11546,11330,11306,11414,11479,10781,10178,9457,9085,8724,8570,8306,8021
WEST VIRGINIA,12375,12577,12679,12519,12573,12369,12142,11606,11207,10780,10364,9923,9557,9037,8736,8296
WISCONSIN,13033,12850,12558,12390,12593,13213,12822,12493,12081,11566,11114,10907,10326,10052,9709,9468
WYOMING,21569,20855,19214,18622,18527,18636,19497,19328,18622,17412,13614,13348,11107,10909,10303,8933
